Date,Country,Virus ,Cuml.Confirmed,Cuml.Deaths,Cuml.Recovered,Province.State
3/17/03,Germany,SARS,1,0,0,Not Recorded
3/17/03,Canada,SARS,8,2,0,Not Recorded
3/17/03,Singapore,SARS,20,0,0,Not Recorded
3/17/03,Hong Kong,SARS,95,1,0,Not Recorded
3/17/03,Switzerland,SARS,2,0,0,Not Recorded
3/17/03,Thailand,SARS,1,0,0,Not Recorded
3/17/03,Vietnam,SARS,40,1,0,Not Recorded
3/18/03,Germany,SARS,2,0,0,Not Recorded
3/18/03,Canada,SARS,8,2,0,Not Recorded
3/18/03,China,SARS,0,0,0,Not Recorded
3/18/03,Singapore,SARS,23,0,0,Not Recorded
3/18/03,Hong Kong,SARS,123,1,0,Not Recorded
3/18/03,Taiwan,SARS,3,0,0,Not Recorded
3/18/03,Thailand,SARS,1,0,0,Not Recorded
3/18/03,Vietnam,SARS,57,1,0,Not Recorded
3/18/03,Slovenia,SARS,1,0,0,Not Recorded
3/18/03,UK,SARS,1,0,0,Not Recorded
3/19/03,Canada,SARS,8,2,0,Not Recorded
3/19/03,China,SARS,0,0,0,Not Recorded
3/19/03,Germany,SARS,1,0,0,Not Recorded
3/19/03,Hong Kong,SARS,150,5,0,Not Recorded
3/19/03,Singapore,SARS,31,0,0,Not Recorded
3/19/03,Slovenia,SARS,1,0,0,Not Recorded
3/19/03,Spain,SARS,1,0,0,Not Recorded
3/19/03,Taiwan,SARS,3,0,0,Not Recorded
3/19/03,Thailand,SARS,1,0,0,Not Recorded
3/19/03,UK,SARS,1,0,0,Not Recorded
3/19/03,US,SARS,11,0,0,Not Recorded
3/19/03,Vietnam,SARS,56,2,0,Not Recorded
3/20/03,Canada,SARS,9,2,0,Not Recorded
3/20/03,China,SARS,0,0,0,Not Recorded
3/20/03,Germany,SARS,1,0,0,Not Recorded
3/20/03,Hong Kong,SARS,173,6,0,Not Recorded
3/20/03,Singapore,SARS,34,0,0,Not Recorded
3/20/03,Slovenia,SARS,1,0,0,Not Recorded
3/20/03,Spain,SARS,1,0,0,Not Recorded
3/20/03,Switzerland,SARS,7,0,0,Not Recorded
3/20/03,Taiwan,SARS,4,0,0,Not Recorded
3/20/03,Thailand,SARS,1,0,0,Not Recorded
3/20/03,UK,SARS,2,0,0,Not Recorded
3/20/03,US,SARS,11,0,0,Not Recorded
3/20/03,Vietnam,SARS,62,2,0,Not Recorded
3/21/03,Canada,SARS,9,2,0,Not Recorded
3/21/03,China,SARS,0,0,0,Not Recorded
3/21/03,Germany,SARS,1,0,0,Not Recorded
3/21/03,Hong Kong,SARS,203,6,0,Not Recorded
3/21/03,Italy,SARS,1,0,0,Not Recorded
3/21/03,Ireland,SARS,1,0,0,Not Recorded
3/21/03,Singapore,SARS,39,0,0,Not Recorded
3/21/03,Slovenia,SARS,1,0,0,Not Recorded
3/21/03,Spain,SARS,1,0,0,Not Recorded
3/21/03,Switzerland,SARS,7,0,0,Not Recorded
3/21/03,Taiwan,SARS,6,0,0,Not Recorded
3/21/03,Thailand,SARS,4,0,0,Not Recorded
3/21/03,UK,SARS,2,0,0,Not Recorded
3/21/03,US,SARS,13,0,0,Not Recorded
3/21/03,Vietnam,SARS,62,2,0,Not Recorded
3/22/03,Canada,SARS,9,2,0,Not Recorded
3/22/03,China,SARS,0,0,0,Not Recorded
3/22/03,Germany,SARS,2,0,0,Not Recorded
